,REGION,2023,P106,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21
0,AMAZONAS,1240.3594300702307,162.69031141868513,2.0842020850040095,2.1319165998396152,2.6182838813151563,2.069366479550922,2.08700882117081,2.1214915797914995,2.3039294306335205,2.0,2.01242983159583,2.570569366479551,2.229751403368083,1.5052125100240576,1.4611066559743384,1.821972734562951,2.0348837209302326,2.5024057738572574,2.094226142742582,2.0906174819566963,2.16158781074579,2.1760224538893342,2.135525260625501
1,ANCASH,1427.4513637492744,248.4295352323838,1.8817397555715312,1.905823148813803,2.4421279654924515,1.7516175413371675,1.771746944644141,1.8781452192667145,2.0406182602444285,1.6923076923076923,1.7588066139468008,2.251258087706686,1.9856218547807334,1.4414090582314882,1.3795830337886412,1.6639108554996405,1.7800143781452193,2.2731847591660674,1.8145219266714594,1.8217109992810927,1.897196261682243,1.9906542056074767,1.8763479511143062
2,APURIMAC,1283.9541295320269,141.64099526066352,2.114709110867179,2.1624588364434687,2.678375411635565,2.070801317233809,2.00768386388584,1.836443468715697,1.8924259055982438,2.009879253567508,1.973655323819978,2.455543358946213,2.069154774972558,1.446761800219539,1.482436882546652,1.7661909989023052,1.9857299670691548,2.7864983534577386,2.0548847420417125,2.055982436882547,2.088364434687157,2.1158068057080133,2.0499451152579584
3,AREQUIPA,1994.9164862299483,410.2344350499616,1.8281374900079936,1.892486011191047,2.4372501998401277,1.7282174260591527,1.8013589128697043,1.7609912070343725,1.9852118305355715,1.6215027977617906,1.5811350919264588,2.0639488409272584,1.8860911270983214,1.2697841726618706,1.2709832134292567,1.5275779376498801,1.6990407673860912,2.258992805755396,1.6930455635491606,1.6974420463629096,1.7665867306155076,1.8157474020783373,1.7146282973621103
4,AYACUCHO,1228.5464170808484,166.43126177024482,2.0636998254799304,2.0981675392670156,2.494764397905759,1.9088132635253054,1.9048865619546247,1.8027923211169286,1.9079406631762652,1.9572425828970332,1.9166666666666667,2.531413612565445,2.1902268760907506,1.600349040139616,1.537958115183246,1.8106457242582896,1.932373472949389,2.282286212914485,2.054101221640489,2.0789703315881325,2.1522687609075044,2.1849912739965096,2.1295811518324608
5,CAJAMARCA,1148.8421246913967,139.8124531132783,1.8967541436464088,1.9675414364640884,2.3929558011049723,1.8211325966850829,1.8280386740331491,1.9143646408839778,2.0593922651933703,1.843232044198895,1.8459944751381216,2.37396408839779,2.076657458563536,1.5079419889502763,1.4181629834254144,1.718232044198895,1.8967541436464088,2.3380524861878453,1.9357734806629834,1.9412983425414365,1.9513121546961325,2.0044889502762433,1.9430248618784531
6,CUSCO,1416.0456391007276,222.53676470588235,1.7344913151364765,1.8014888337468982,2.214226633581472,1.7526881720430108,1.8358147229114972,1.6691480562448304,1.8126550868486353,1.6894127377998345,1.6319272125723738,2.15550041356493,1.7584780810587262,1.2353184449958643,1.4015715467328371,1.598014888337469,1.8072787427626138,2.356492969396195,1.739454094292804,1.7224979321753515,1.7460711331679073,1.813895781637717,1.7220843672456576
7,HUANCAVELICA,1096.9933039878301,118.21649484536083,2.1555876685934487,2.195568400770713,2.8078034682080926,1.9908477842003853,1.98747591522158,1.9638728323699421,2.1440269749518306,1.9710982658959537,2.027456647398844,2.5486512524084777,2.144990366088632,1.5939306358381502,1.6353564547206165,1.842003853564547,1.9407514450867052,2.4296724470134876,2.0476878612716765,2.050578034682081,2.090077071290944,2.1502890173410405,2.1459537572254335
8,HUANUCO,1399.2774846210066,206.3344739093242,1.9018429487179487,1.8629807692307692,2.3333333333333335,1.7668269230769231,1.8197115384615385,1.7696314102564104,1.9611378205128205,1.6634615384615385,1.7111378205128205,2.2115384615384617,2.0100160256410255,1.453525641025641,1.4094551282051282,1.6197916666666667,1.7728365384615385,2.0853365384615383,1.7852564102564104,1.858974358974359,1.9054487179487178,1.9811698717948718,1.8826121794871795
9,ICA,1866.625224576115,435.6852248394004,1.8088133240804996,1.84941013185288,2.4073560027758503,1.7113115891741846,1.7456627342123525,1.8764746703678001,2.060027758501041,1.6773074253990286,1.6620402498265094,2.2220680083275504,1.7876474670367801,1.2626648160999305,1.27411519777932,1.688410825815406,1.8004857737682165,2.4934073560027756,1.6759195003469813,1.6741845940319222,1.705412907702984,1.8213046495489245,1.6904927133934768
