,UBIGEO,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21,P2A1$1,P2A1$2,P2A1$3,P2A1$4,P507,P207,P208A,P301A,Region,REGION
0,10201,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.5,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3,3,5,5,2,2,41,10,1,AMAZONAS
1,10201,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,3,4,3,5,2,59,5,1,AMAZONAS
2,10201,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3,3,3,3,3,1,30,8,1,AMAZONAS
3,10201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.5,2.5,2.5,2.5,2.5,3,3,3,3,2,1,58,4,1,AMAZONAS
4,10201,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4,2,2,2,3,2,50,10,1,AMAZONAS
5,10201,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4,4,4,4,8,2,52,3,1,AMAZONAS
6,10513,2.5,2.5,3.0,2.0,2.0,2.0,2.0,1.0,2.5,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.5,2.5,2.5,2.0,2.5,3,5,2,2,3,2,59,4,1,AMAZONAS
7,10513,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3,5,2,3,5,2,51,3,1,AMAZONAS
8,10513,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.5,1.0,1.0,4,5,3,3,2,2,52,4,1,AMAZONAS
9,10513,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3,3,3,2,5,2,27,6,1,AMAZONAS
10,10513,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,1.0,1.0,2.5,2.0,3.0,2.5,2.5,2.5,2.5,2.5,5,2,2,3,5,2,68,3,1,AMAZONAS
11,10513,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3,2,1,2,2,1,47,3,1,AMAZONAS
12,10513,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.5,1.0,2.0,2.0,2.0,5,2,2,2,2,1,52,4,1,AMAZONAS
13,20101,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.5,3.0,2.0,2.0,4.0,2,3,5,5,1,1,81,4,2,ANCASH
14,20101,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,2,3,3,3,1,1,72,7,2,ANCASH
15,20101,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4,3,3,3,3,2,58,10,2,ANCASH
16,20101,3.0,3.0,3.0,3.0,3.0,2.0,2.5,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.5,3.0,2.5,2.5,2.5,2,5,5,5,2,2,66,11,2,ANCASH
17,20101,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3,2,5,5,3,1,28,8,2,ANCASH
18,20101,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2,2,2,2,3,1,32,11,2,ANCASH
19,40104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,2,2,45,1,4,AREQUIPA
20,40104,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3,3,3,4,4,1,26,8,4,AREQUIPA
21,40104,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3,3,3,2,4,1,42,6,4,AREQUIPA
22,40104,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,3,5,5,4,1,57,6,4,AREQUIPA
23,40104,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,8,1,88,3,4,AREQUIPA
24,40103,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3,2,3,2,2,2,50,4,4,AREQUIPA
25,40103,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.5,3.0,2.5,4,2,3,2,3,2,29,10,4,AREQUIPA
26,40103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,3,3,2,1,65,4,4,AREQUIPA
27,40103,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2,3,3,3,8,1,26,7,4,AREQUIPA
28,40103,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,3,2,3,4,2,41,8,4,AREQUIPA
29,51001,2.5,2.0,3.0,3.0,3.0,3.0,3.0,2.5,2.0,3.0,2.5,1.0,1.0,1.0,2.0,3.0,2.5,2.0,2.5,2.0,2.5,3,5,5,5,2,2,64,4,5,AYACUCHO
30,51001,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5,5,5,3,2,47,8,5,AYACUCHO
31,51001,2.5,2.5,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.5,1.0,1.0,3.0,3.0,3.0,2.5,1.0,2.5,2.5,2.5,3,5,5,5,8,2,68,4,5,AYACUCHO
32,51001,2.5,2.5,3.0,1.0,1.0,1.0,1.0,2.5,2.0,3.0,2.5,2.5,2.5,2.5,3.0,3.0,2.5,2.5,2.5,4.0,2.5,3,5,5,5,8,2,72,4,5,AYACUCHO
33,51001,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,2,1,70,4,5,AYACUCHO
34,51001,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.5,1.0,2.5,2.5,2.5,3,5,3,3,5,2,60,4,5,AYACUCHO
35,60801,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,3,3,2,2,8,2,63,4,6,CAJAMARCA
36,60801,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3,2,2,2,5,2,25,10,6,CAJAMARCA
37,60801,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4,4,4,4,1,1,62,6,6,CAJAMARCA
38,60801,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,8,2,90,3,6,CAJAMARCA
39,60801,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,4,1,29,6,6,CAJAMARCA
40,60411,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3,2,3,2,5,2,33,4,6,CAJAMARCA
41,60411,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,3,3,5,2,33,4,6,CAJAMARCA
42,60411,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3,3,3,3,2,1,51,4,6,CAJAMARCA
43,60411,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3,2,2,3,5,1,59,5,6,CAJAMARCA
44,60411,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4,4,3,2,5,2,78,3,6,CAJAMARCA
45,60411,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,3,3,5,2,55,4,6,CAJAMARCA
46,70102,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2,2,2,2,4,1,50,6,7,CALLAO
47,70102,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.5,1.0,1.0,2.0,2.0,2.5,2.0,2.0,2.0,3.0,2.0,4,4,4,4,2,2,44,6,7,CALLAO
48,70102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,2,2,2,8,2,51,5,7,CALLAO
